5 5007876 19455.1032893686 5.009278e-05 3.35242497180772e-06 0.9999271 4.43496335948879e-05 1000000 0 0.0002640953 6.66847066425286e-07 0 0 1001571.2 3887.96915625626 0 0 5007859 19442.3946313205 0 0 0 0 61131.3 237.486441718259 473.6 31.560101394007 9393024 6901.85076628001 9454627 6652.10350190073 0.00131332 6.43434689770456e-06 0.06 0.128062484748657 59038.2 206.146937886547 0.000289052 8.7194644330945e-07 
10 10000871 18112.2629453086 0.0005761466 8.60854546598903e-06 0.9999335 3.12257906224943e-05 1000000 0 0.0003139699 7.82353686001411e-07 0 0 1000083.3 1808.4525456865 0 0 10000833 18084.525456865 0 0 0 0 122080.9 221.081184183548 4441.5 62.7714106898993 7582550 7565.68437089468 7709071 7295.14009461093 0.001702369 5.96972604061526e-06 0.07 0.09 116863.9 170.139619136755 0.0003646542 9.74440126431582e-07 
15 14991550 40036.614492237 0.002780167 2.85628381117843e-05 0.9999206 2.26768604529075e-05 1000000 0 0.0004549159 1.60249670514481e-06 0.01999997 0.0426874100618449 999435.9 2668.89315822121 0 0 14991520 40041.7731875101 0 0 0 0 183002.5 488.661897430115 16012.8 121.494691242046 5560799 16782.0817838551 5759815 16179.3956932884 0.002510526 1.52536862430037e-05 0.03333327 0.0537482630212001 171557.8 420.50013079665 0.0005551822 2.50249338860266e-06 
20 19993340 57976.205463966 0.01298957 0.000260150268306608 0.9999426 1.91582880237227e-05 1000000 0 0.0009834394 1.17245227638484e-05 0.155 0.235 999664.7 2897.42075128898 0 0 19993290 57976.727227397 0 0 0.105 0.0788986691902975 244059.5 707.574483711786 43784.3 499.326756743518 3083476 31454.5046694428 3371319 30324.9103708486 0.005033731 7.15305367587858e-05 0.21 0.26153393661244 212463.4 499.473763074698 0.001424886 2.96403064086727e-05 
25 21192130 18607.7430119829 0.1816099 0.000278956071810599 0.9993957 0.000111839214947166 1000000 0 0.00950018 1.36709114546177e-05 2.84 0.342227994179319 847682.9 745.055494577417 0 0 21192060 18617.7442242609 0.06027961 0.00182573554243215 131.564 1.108 258693.1 227.142004041525 128264.6 212.343212747665 319307.4 830.577052415969 706265.1 800.715111634594 0.03111145 3.46013655799884e-05 979.384 2.53615141503816 1408.6 239.153172673916 6.192762 0.0638290327045617 
30 20512490 11254.7278954224 0.2039744 0.000401363227015129 0.9992819 0.0001737115137232 1000000 0 0.01175481 7.6271160998113e-06 2.703334 0.402340397628675 683747.2 374.432851122868 0 0 20512410 11241.3033052222 0.2219536 0.00115515342703903 152.9302 0.979773933109064 250396.6 137.231337529006 137717.4 134.699814402248 287058 1138.28871557264 675172 1097.57368773126 0.02795677 4.58350313624855e-05 992.9967 1.34783953421764 420.9 109.383225404995 9.584204 0.016043288440965 
35 19914320 11467.5891101835 0.2241515 0.00028894091091432 0.9991591 0.000167197757162 1000000 0 0.01405013 7.44245255275474e-06 2.942856 0.239046319494779 568979.7 327.225319924972 0 0 19914280 11458.1673927378 0.3350711 0.000792299621355458 170.0913 1.54804231531312 243094.8 140.029139824538 145918.7 124.683639664553 261970 901.4228752367 650983.5 869.034895732041 0.02552013 3.55862627990068e-05 996.0087 0.62882876047459 224.9 58.5054698297518 11.92727 0.0132881187532321 
40 19366680 14319.9720670119 0.2426675 0.000344681954851135 0.9991294 0.000178874369321039 1000000 0 0.01640537 9.85343087457385e-06 2.9725 0.232768661980087 484166.7 357.427489149897 0 0 19366640 14305.9568012769 0.4188026 0.000642211678498602 185.27 1.87459328922302 236409.9 174.696565507167 153317.1 160.08525853432 242072.4 922.77789310321 631799.4 889.673445709155 0.02356034 4.04895838457251e-05 997.5075 0.193018781469586 159.2 40.7573306289801 14.10925 0.015133158956411 
45 18867010 13533.2516417896 0.2600521 0.000311176621872529 0.9991404 0.000105928466429004 1000000 0 0.01880675 1.53125602039633e-05 3.133334 0.17356141692208 419265.8 300.759305757943 0 0 18866980 13527.5127055937 0.4828731 0.00089419611383633 199.4844 1.20274670650141 230310 165.27613257818 160028 161.671271412085 225031.6 506.038575604667 615369.6 487.825009608979 0.02197248 2.05510486350457e-05 997.9978 0.301869441977836 114.6 10.7349895202557 16.24217 0.0158614028383367 
50 18409350 20794.6747990922 0.276382 0.000435216497849052 0.9989969 0.00014214812696619 1000000 0 0.02125887 1.78419197397593e-05 3.124 0.161195533436879 368186.5 415.558479639148 0 0 18409320 20776.0342702836 0.5327626 0.000915130832176458 210.07 1.35393500582561 224723.6 253.811820055726 166143.6 247.797578680664 210270.8 603.222479687221 601138 581.513198474463 0.02065875 2.09271235481607e-05 998.77 0.206929939834707 105.2 12.6 18.35098 0.014369885176994 
55 17968910 10984.7576213588 0.291806 0.000503872999871998 0.998954 0.000201908395070645 1000000 0 0.02376198 1.52415747217927e-05 3.236363 0.14293378229446 326706.3 199.792417273529 0 0 17968850 10995.2034997084 0.5733556 0.000486992032789028 221.1909 1.2909538682695 219347 134.129787892176 171960.5 142.666919781707 197991.1 739.882213598894 589298.6 713.285384681335 0.019523 2.4228784534103e-05 998.9637 0.135545601182766 83.9 15.6361760031025 20.46111 0.0165466884904507 
60 17563840 9183.48517720805 0.3066107 0.000436100458610167 0.998799 0.000162284318404473 1000000 0 0.0262968 1.80170474828705e-05 3.155 0.161943302856278 292730.2 153.562886141151 0 0 17563790 9214.71106437961 0.606342 0.000495607707768951 230.5684 1.36871203691646 214402.4 112.155427866867 177314.1 114.274625354888 186588.2 690.82151095634 578304.7 666.135429173378 0.01856617 2.60552509103252e-05 999.0232 0.1552905663587 75 14.6219013811474 22.54595 0.0108909365988415 
